方向编号,方向,支撑关系,序号,标题,作者,出处,年份,国别,被引,类型,DOI,OpenAlexID
E9,水下声学感知与通信工程,支撑 D1/D2,30,Optimized Auxiliary Classifier Generative Adversarial Network Model for Underwater Acoustic Source Ranging,"Liu Jianshe, Zhu Guangping, Yin Jingwei",2024 OES China Ocean Acoustics (COA),2024,国内,0,方法/分析,10.1109/coa58979.2024.10723465,coa58979.2024.10723465
E9,水下声学感知与通信工程,支撑 D1/D2,31,Recognition of Underwater Acoustic Chirp Imitation Whistle Communication Signals Based on Improved-ResNet,"Lou Zheng, Bin Wang, Shuoshuo Yang",2024 OES China Ocean Acoustics (COA),2024,国内,0,方法/分析,10.1109/coa58979.2024.10723551,coa58979.2024.10723551
E9,水下声学感知与通信工程,支撑 D1/D2,32,Study on the Radiated Sound Field of Hydroacoustic Transducer Installed on Carrier,"Mingyu Zhang, Yan Wang, Rui Zhang, Minhui Wang, Hui Zhao, Hairong Shi",2024 OES China Ocean Acoustics (COA),2024,国内,0,方法/分析,10.1109/coa58979.2024.10723494,coa58979.2024.10723494
E9,水下声学感知与通信工程,支撑 D1/D2,33,WIDEBAND UNDERWATER ACOUSTIC COMMUNICATION,"JJ DAVIES, SA POINTER",Underwater Acoustic Communication 1993,2024,国外,0,方法/分析,10.25144/20689,20689
E9,水下声学感知与通信工程,支撑 D1/D2,34,UNDERWATER ACOUSTIC COMMUNICATION CHANNEL CHARACTERIZATION AT LOW FREQUENCIES IN SHALLOW WATER,"JB FRANKLIN, PJ BARRY",Underwater Acoustic Communication 1993,2024,国外,0,方法/分析,10.25144/20688,20688
E9,水下声学感知与通信工程,支撑 D1/D2,35,UNDERWATER ACOUSTIC COMMUNICATIONS: A REVIEW AND BIBLIOGRAPHY (II),"R COATES, R OWEN, M ZHENG",Underwater Acoustic Communication 1993,2024,国外,0,方法/分析,10.25144/20693,20693
E9,水下声学感知与通信工程,支撑 D1/D2,36,Energy-efficient Communication in an Underwater Acoustic Sensor Network,"M.Kowsalya -, P.Sumathi -",International Journal For Multidisciplinary Research,2024,国外,0,方法/分析,10.36948/ijfmr.2024.v06i02.14653,ijfmr.2024.v06i02.14653
E9,水下声学感知与通信工程,支撑 D1/D2,37,"UNDERWATER ACOUSTICS, AN OIL INDUSTRY PERSPECTIVE","I EDWARDS, I MILROY",Underwater Acoustic Communication 1993,2024,国外,0,方法/分析,10.25144/20687,20687
E9,水下声学感知与通信工程,支撑 D1/D2,38,UNDERWATER ACOUSTIC COMMUNICATIONS: A REVIEW AND BIBLIOGRAPHY,"R COATES, PA WILLISON",Underwater Communication and Position Fixing 1987,2024,国外,0,方法/分析,10.25144/22005,22005
E9,水下声学感知与通信工程,支撑 D1/D2,39,ON GENERAL PROPERTIES OF RAY ARRIVAL SEQUENCES IN OCEANIC ACOUSTIC WAVEGUIDES,AL VIROVLYANSKY,Underwater Acoustic Communication 1993,2024,国外,0,方法/分析,10.25144/20679,20679
E9,水下声学感知与通信工程,支撑 D1/D2,40,What acoustic telemetry can and cannot tell us about fish biology,"David M. P. Jacoby, Adam T. Piper",Journal of Fish Biology,2023,国外,45,方法/分析,10.1111/jfb.15588,jfb.15588
E9,水下声学感知与通信工程,支撑 D1/D2,41,"Underwater acoustic sensor networks: Taxonomy on applications, architectures, localization methods, deployment techniques, routing techniques, and threats: A systematic review","Kamal Kumar Gola, Shikha Arya",Concurrency and Computation: Practice and Experience,2023,国外,42,工程落地,10.1002/cpe.7815,cpe.7815
